school,major,degree,post_grad_earnings
California State University-Los Angeles,"Computer and Information Sciences, General.",Bachelor's Degree,69513.0
California State University-Los Angeles,Computer Science.,Bachelor's Degree,100735.0
California State University-Northridge,"Computer and Information Sciences, General.",Bachelor's Degree,82112.0
California State University-Northridge,Computer Science.,Bachelor's Degree,113922.0
California State University-Northridge,Biotechnology.,Bachelor's Degree,86383.0
California State University-Northridge,Management Information Systems and Services.,Bachelor's Degree,84481.0
California State University-Sacramento,Computer Science.,Bachelor's Degree,108027.0
California State University-Sacramento,Computer Engineering.,Bachelor's Degree,107734.0
University of California-Berkeley,Information Science/Studies.,Master's Degree,214399.0
University of California-Berkeley,Computer Science.,Bachelor's Degree,225140.0
University of California-Davis,Food Science and Technology.,Bachelor's Degree,72469.0
University of California-Davis,Food Science and Technology.,Master's Degree,86959.0
University of California-Davis,"Computer and Information Sciences, General.",Bachelor's Degree,143465.0
University of California-Davis,Computer Engineering.,Bachelor's Degree,146640.0
University of California-Davis,Biotechnology.,Bachelor's Degree,93489.0
University of California-Davis,Security Science and Technology.,Master's Degree,83518.0
University of California-Irvine,"Computer and Information Sciences, General.",Bachelor's Degree,122422.0
University of California-Irvine,Computer Science.,Bachelor's Degree,132705.0
University of California-Irvine,Computer Engineering.,Bachelor's Degree,115244.0
University of California-Irvine,Management Information Systems and Services.,Bachelor's Degree,129344.0
University of California-Los Angeles,"Computer and Information Sciences, General.",Bachelor's Degree,218770.0
University of California-Los Angeles,"Computer and Information Sciences, General.",Master's Degree,287429.0
University of California-Los Angeles,Computer Engineering.,Bachelor's Degree,191628.0
University of California-Riverside,Computer Engineering.,Bachelor's Degree,117682.0
University of California-San Diego,Computer Science.,Bachelor's Degree,160463.0
University of California-San Diego,Computer Science.,Master's Degree,301159.0
University of California-San Diego,Computer Engineering.,Bachelor's Degree,154498.0
University of California-San Diego,Computer Engineering.,Master's Degree,206109.0
University of California-San Diego,"Biomathematics, Bioinformatics, and Computational Biology.",Bachelor's Degree,138331.0
University of California-Santa Barbara,Computer Science.,Bachelor's Degree,145485.0
University of California-Santa Barbara,Computer Engineering.,Bachelor's Degree,139942.0
University of California-Santa Cruz,Computer Science.,Bachelor's Degree,120928.0
